Accession,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_001003817,6,4,2,3,2.0,35.0,25.75,58.0,26.333333333333332,64.0,25.0,1.29889481146,1.2250914415275,1.20359802917,0.9191891696226667,1.35026395812,1.0500575022788001,True
NM_001003908,63,45,22,3,2.0634920634920637,653.0,79.5,852.0,109.66666666666667,875.0,123.475,1.29450977853,0.8575942261604791,1.16725431403,0.818345010156,1.22032700796,0.79848808823305,True
NM_001003909,6,1,0,2,1.1666666666666667,11.0,10.0,36.0,27.25,34.0,34.0,1.06708951878,1.03105825448,1.01766297081,0.9591222670095,1.2641247122,1.2641247122,True
NM_001003912,4,3,0,2,1.75,49.0,41.0,48.0,34.333333333333336,55.0,35.5,1.25174484257,1.043281876656,0.771011219014,0.7286842616103333,1.21971056039,1.150953045215,True
NM_001003917,7,3,2,3,1.7142857142857142,56.0,30.0,50.0,37.0,34.0,23.5,1.00126282831,0.83625481691825,1.00083748124,0.80167424522325,1.07278331454,1.05034440072,True
NM_001003919,7,1,0,2,1.1428571428571428,27.0,18.0,22.0,18.5,27.0,20.0,1.25409946525,1.0932959160463334,1.00961375817,0.92619703015,1.09669266331,1.0218154159056667,True
NM_001003920,1,0,0,1,1.0,19.0,19.0,,,,,1.07952957333,1.07952957333,,,,,True
NM_001003949,7,5,4,3,2.2857142857142856,97.0,58.6,101.0,58.333333333333336,67.0,47.8,1.01140426471,0.854602901897,0.915594938494,0.8013567025331666,0.907535294105,0.7648766746372,True
NM_001003950,10,5,1,3,1.6,72.0,40.0,62.0,29.0,55.0,31.142857142857142,1.1645953714,0.983755387408,1.17085833559,0.9579656672088334,1.13042246132,0.9083361571837143,True
NM_001003953,12,7,3,3,1.8333333333333333,36.0,18.875,50.0,22.833333333333332,28.0,16.625,1.09005965871,0.8568481666631249,0.950270539233,0.8022512776138333,1.08522804007,0.884879726779875,True
NM_001003961,9,2,0,2,1.2222222222222223,92.0,53.333333333333336,64.0,34.4,42.0,30.666666666666668,0.933823851715,0.8116669071663334,1.46006026854,1.0979228726384,1.09283055353,0.8552059220173334,True
NM_001004062,1,0,0,1,1.0,,,10.0,10.0,,,,,0.943348392329,0.943348392329,,,True
NM_001004140,6,5,2,3,2.1666666666666665,252.0,111.0,220.0,58.4,341.0,91.4,1.11718569398,1.008977881578,1.18581591182,0.8386339078046001,1.20244784556,0.97029221175,True
NM_001004144,10,8,5,3,2.3,212.0,59.333333333333336,220.0,66.42857142857143,264.0,70.0,1.352906754,1.0525959307033332,1.33174686449,0.8712202559147143,1.46105303363,0.9996971802821429,True
NM_001004153,27,20,14,3,2.259259259259259,753.0,191.89473684210526,682.0,136.25,893.0,199.88888888888889,1.21068174704,0.8763016320467368,1.27128211741,0.8918789468467917,1.12819022648,0.8730059621926666,True
NM_001004156,1,1,0,2,2.0,,,17.0,17.0,15.0,15.0,,,0.677494404449,0.677494404449,1.08518861297,1.08518861297,True
NM_001004164,25,13,4,3,1.68,150.0,51.46666666666667,237.0,76.46153846153847,181.0,56.285714285714285,1.0685031693,0.9079520667422,1.08501115746,0.8746283193742308,1.41697004492,0.9143357992166428,True
NM_001004361,3,1,0,2,1.3333333333333333,28.0,28.0,,,34.0,21.666666666666668,1.064195481,1.064195481,,,1.03972077084,0.8319092784403334,True
NM_001004362,1,0,0,1,1.0,,,,,26.0,26.0,,,,,0.929168760484,0.929168760484,True
NM_001004363,3,1,1,3,1.6666666666666667,12.0,12.0,17.0,17.0,63.0,44.5,1.02818385933,0.7952595019744999,0.649248354871,0.649248354871,1.37137923978,1.3431617947349999,True
NM_001004365,4,1,0,2,1.25,14.0,14.0,40.0,30.666666666666668,24.0,24.0,1.00424247305,1.00424247305,1.0979923064,0.8693473366749999,0.933720058514,0.933720058514,True
NM_001004721,5,1,0,2,1.2,37.0,20.25,,,12.0,11.5,1.07755632707,0.9889370587524999,,,0.918427784993,0.6962835490255,True
NM_001005247,1,0,0,1,1.0,,,,,25.0,25.0,,,,,0.803044856366,0.803044856366,True
NM_001005419,11,5,1,3,1.5454545454545454,372.0,102.6,380.0,85.66666666666667,295.0,78.66666666666667,1.08924214972,0.8810069591726,1.24693730164,0.8545216192223334,1.2673453922,0.961858185512,True
NM_001005423,23,15,6,3,1.9130434782608696,374.0,105.14285714285714,293.0,77.29411764705883,272.0,119.53846153846153,1.4273859956,0.9450680873955715,1.15962844723,0.8884285966969412,1.30892388378,0.8778026131413845,True
NM_001005508,6,3,2,3,1.8333333333333333,85.0,48.5,114.0,71.66666666666667,107.0,75.0,1.2640533723,0.996036840703,1.03619878482,0.824355007433,0.8745935467,0.8190260243285,True
NM_001005509,17,10,4,3,1.8235294117647058,336.0,81.5,439.0,74.7,437.0,99.61538461538461,1.15461904115,0.870981180397625,1.21814261528,0.9428238881521,1.14231447629,0.8738896713675384,True
NM_001005511,2,1,0,2,1.5,,,15.0,15.0,15.0,15.0,,,1.08518861297,1.08518861297,1.08325501052,0.831585090969,True
NM_001005605,14,9,3,3,1.8571428571428572,69.0,34.375,61.0,32.285714285714285,82.0,41.45454545454545,1.1661672326,0.808062059586,1.21288972645,0.9829158519947142,1.14995126033,0.8566751721597273,True
NM_001005767,14,7,4,3,1.7857142857142858,156.0,79.85714285714286,179.0,106.28571428571429,192.0,63.90909090909091,1.07627196196,0.8461454230220001,1.23758495426,0.8902597224707142,1.25333417522,0.9279987235379091,True
NM_001005847,2,2,1,3,2.5,25.0,25.0,50.0,39.0,42.0,26.5,0.838569693783,0.838569693783,0.970937445422,0.9315276581205,0.977320208956,0.8164009914285,True
NM_001005863,8,4,3,3,1.875,55.0,42.5,94.0,38.666666666666664,84.0,32.4,1.25252609277,0.847573736496,1.06085694716,0.8188376537166667,1.45501594471,0.9843301435514,True
NM_001005868,5,2,0,2,1.4,61.0,25.25,84.0,55.5,15.0,15.0,1.08889997535,0.8750461761295,1.08572305477,0.9505909385725,1.06060180561,1.06060180561,True
NM_001007571,5,2,1,3,1.6,21.0,14.5,16.0,13.5,19.0,14.0,1.04375703633,0.920930514967,1.07173009411,1.033326863341,0.636514168295,0.6300845089314999,True
NM_001007574,3,0,0,1,1.0,12.0,10.0,,,,,1.09861228867,0.9784892862186667,,,,,True
NM_001007581,1,1,0,2,2.0,,,21.0,21.0,24.0,24.0,,,0.916552529382,0.916552529382,1.05057175133,1.05057175133,True
NM_001007589,6,6,3,3,2.5,88.0,50.0,251.0,79.83333333333333,204.0,87.0,1.03619878482,0.8259619693570001,1.00754687761,0.7935203954638334,1.02357125673,0.84470868558475,True
NM_001008232,1,1,0,2,2.0,44.0,44.0,,,7.0,7.0,1.28886801212,1.28886801212,,,0.598269588585,0.598269588585,True
NM_001008421,13,4,1,3,1.3846153846153846,92.0,39.0,83.0,58.4,76.0,43.0,1.06604934835,0.9318935702519999,1.16889471153,0.99822116347,1.0588032571,0.8124342302697143,True
NM_001008427,6,5,1,3,2.0,59.0,30.166666666666668,101.0,62.666666666666664,62.0,29.333333333333332,1.00112407877,0.8356479144944999,1.02043935855,0.9336126751976668,0.867477504997,0.7500985379713333,True
NM_001008542,6,3,2,3,1.8333333333333333,160.0,47.6,230.0,89.66666666666667,231.0,91.33333333333333,1.00145758175,0.8275482425144001,1.26135895895,1.0427318126536667,0.942949160682,0.8275021679033333,True
NM_001008705,4,0,0,1,1.0,18.0,16.0,30.0,30.0,11.0,11.0,1.08930967896,1.08415094342,1.28881004699,1.28881004699,1.03619878482,1.03619878482,True
NM_001008785,19,11,4,3,1.7894736842105263,167.0,56.63636363636363,161.0,45.0,134.0,55.0,0.983961446001,0.866286153765909,1.22023885956,0.9486664567207858,1.02180767248,0.8552925167194444,True
NM_001009947,10,7,2,3,1.9,40.0,26.625,53.0,34.166666666666664,76.0,38.6,1.03460123291,0.8624082801575,1.17416546288,0.8645003313371667,1.14120652077,1.0281524682054,True
NM_001009949,2,2,2,3,3.0,39.0,22.5,53.0,38.0,42.0,32.5,0.89797229304,0.7955597368,1.07472122512,1.0352441225655,0.69314718056,0.6696188428105,True
NM_001009951,6,1,1,3,1.3333333333333333,118.0,80.5,108.0,52.0,154.0,56.0,0.967088776082,0.871057234337,1.07042722909,1.0064632775623334,1.01140426471,0.8901297849266667,True
NM_001010833,20,9,4,3,1.65,204.0,64.66666666666667,238.0,59.0,172.0,44.57142857142857,1.28913984251,0.9006617786626667,1.33837790971,0.9326065829577999,1.08889997535,0.8533217961987143,True
NM_001012273,14,4,1,3,1.3571428571428572,971.0,223.8,998.0,159.0,926.0,174.57142857142858,1.14212004299,0.9468478303001999,1.09588715421,0.9763558642837143,1.03300108992,0.85695671551,True
NM_001012309,9,5,2,3,1.7777777777777777,67.0,41.714285714285715,59.0,35.666666666666664,90.0,45.333333333333336,1.28604428421,0.9242901665842858,1.04665415384,0.781801771263,1.23956245732,0.9113588023729999,True
NM_001012400,2,1,1,3,2.0,51.0,31.0,39.0,39.0,80.0,80.0,1.03619878482,0.970837701611,0.89797229304,0.89797229304,0.702165466439,0.702165466439,True
NM_001012450,1,0,0,1,1.0,,,15.0,15.0,,,,,1.09861228867,1.09861228867,,,True
NM_001012518,10,4,2,3,1.6,67.0,39.4,94.0,40.625,53.0,25.666666666666668,0.995737499178,0.848398595853,1.26486674903,0.987049426541375,1.08295006929,0.9873058541603333,True
NM_001012667,2,1,1,3,2.0,50.0,50.0,62.0,62.0,52.0,41.0,0.844112426454,0.844112426454,1.00151681777,1.00151681777,1.35364978384,1.149169378623,True
NM_001013019,1,1,0,2,2.0,13.0,13.0,16.0,16.0,,,1.0579054247,1.0579054247,0.685314207276,0.685314207276,,,True
NM_001013028,6,2,1,3,1.5,46.0,37.0,70.0,35.666666666666664,57.0,32.5,0.690593986478,0.6322792389355,1.06094424079,0.9574722779423332,0.993211376171,0.8687003197195,True
NM_001013256,3,1,0,2,1.3333333333333333,41.0,36.5,37.0,37.0,13.0,13.0,1.04218973616,0.9941649679210001,1.01303709901,1.01303709901,0.690185676019,0.690185676019,True
NM_001013367,8,5,5,3,2.25,118.0,62.2,119.0,50.166666666666664,117.0,46.285714285714285,1.34008078378,1.0495306001471998,1.18227678983,0.9668073025284999,1.37246833605,0.8828749319734286,True
NM_001013368,3,1,0,2,1.3333333333333333,8.0,8.0,47.0,31.0,23.0,23.0,0.562335144619,0.562335144619,0.965384367818,0.9578274535255,1.06120844091,1.06120844091,True
NM_001013374,8,4,2,3,1.75,66.0,32.6,54.0,25.2,31.0,28.5,1.35178399429,0.8930917528028001,0.970115783987,0.8669978856892,0.986383662433,0.8116972527749999,True
NM_001013377,2,1,1,3,2.0,21.0,19.5,21.0,21.0,9.0,9.0,0.955699891113,0.9021927244195,1.03536056068,1.03536056068,0.686961576597,0.686961576597,True
NM_001013380,14,9,5,3,2.0,42.0,24.6,40.0,23.875,67.0,24.7,1.08286749548,0.8966142706294,1.46388605555,0.922711051115125,1.34396467861,0.8702430568420001,True
NM_001013389,4,3,1,3,2.0,38.0,30.0,21.0,18.0,29.0,26.0,0.907808691525,0.7612319060976667,0.88646447568,0.73909045225,1.08352226699,1.0108306409974999,True
NM_001013391,32,21,6,3,1.84375,454.0,101.38095238095238,481.0,99.6875,528.0,90.27272727272727,1.31883948813,0.9407086370663335,1.26502175177,0.8964089465485625,1.29332403184,0.8545071235668636,True
NM_001013405,4,4,0,2,2.0,41.0,34.666666666666664,17.0,17.0,25.0,20.0,0.927028082143,0.8539461353106667,1.01760298612,1.01760298612,0.838569693783,0.6698403359855,True
NM_001013414,5,4,1,3,2.0,54.0,31.333333333333332,84.0,36.25,59.0,43.0,1.50226760634,1.0372619647883334,1.37431709432,0.901460947382,1.19356146446,1.0050770619143334,True
NM_001013577,4,2,0,2,1.5,46.0,35.333333333333336,,,65.0,41.0,1.34309417034,1.1523197156403333,,,1.01041275378,0.7870916871556667,True
NM_001013608,23,12,4,3,1.6956521739130435,99.0,42.6,151.0,68.57142857142857,180.0,52.05882352941177,1.27734991593,0.9715611216142,1.19459329997,0.9027432331955715,1.27594502153,0.8818352608640588,True
NM_001013756,1,1,1,3,3.0,9.0,9.0,9.0,9.0,10.0,10.0,0.686961576597,0.686961576597,0.686961576597,0.686961576597,0.897945724857,0.897945724857,True
NM_001013758,1,0,0,1,1.0,6.0,6.0,,,,,1.01140426471,1.01140426471,,,,,True
NM_001013761,1,1,0,2,2.0,22.0,22.0,,,21.0,21.0,0.676525960493,0.676525960493,,,1.07101854241,1.07101854241,True
NM_001013770,2,1,0,2,1.5,17.0,17.0,22.0,22.0,28.0,28.0,0.691416077617,0.691416077617,0.916464885539,0.916464885539,1.06094424079,1.06094424079,True
NM_001013779,13,9,2,3,1.8461538461538463,158.0,39.77777777777778,251.0,69.5,257.0,79.0,1.0579054247,0.8241717581475556,1.06221155903,0.856501585637,1.09483756239,0.8689879170791429,True
NM_001013784,2,1,1,3,2.0,11.0,11.0,29.0,17.5,21.0,21.0,0.655481773901,0.655481773901,0.992508655508,0.9300359419945,0.930299833183,0.930299833183,True
NM_001013792,8,4,2,3,1.75,71.0,42.2,38.0,25.0,84.0,36.4,1.06060180561,0.800188419488,1.09124363842,0.86460012575875,1.08518861297,0.9671746130908,True
NM_001013806,17,10,7,3,2.0,292.0,123.9,234.0,109.1,176.0,73.5,1.2002903732,0.9423883661084,1.34303932238,0.963142338658,1.23171649062,0.8794382214154286,True
NM_001013811,5,3,0,2,1.6,23.0,23.0,22.0,21.0,31.0,26.2,0.837897227781,0.837897227781,0.562335144619,0.5491475169175,1.0875656526,0.9998841584412,True
NM_001013814,7,3,1,3,1.5714285714285714,35.0,22.5,41.0,35.333333333333336,56.0,35.25,0.900908873225,0.8242686574285,1.34244423276,0.9472332196906667,0.83593736449,0.7425813193549999,True
NM_001014397,16,10,3,3,1.8125,287.0,78.22222222222223,221.0,88.2,274.0,71.2,1.2772514774,0.8942482723706667,1.14226259349,0.8578957341843001,1.08889997535,0.8868738316875999,True
NM_001014976,10,9,2,3,2.1,379.0,96.8,318.0,78.85714285714286,411.0,68.88888888888889,0.971804445129,0.748853463044,1.07833960558,0.9377079433550001,1.03575398323,0.8051731264863333,True
NM_001014996,2,1,0,2,1.5,,,24.0,24.0,24.0,20.5,,,0.661563238158,0.661563238158,1.07755632707,1.06632897262,True
NM_001015681,1,1,0,2,2.0,63.0,63.0,,,42.0,42.0,0.838594772333,0.838594772333,,,0.916552529382,0.916552529382,True
NM_001017426,12,5,1,3,1.5,73.0,23.5,45.0,21.8,75.0,33.285714285714285,1.17624024466,0.9748366712006667,1.25115598336,0.9620089791099999,1.07338362034,0.8622741534780001,True
NM_001017429,6,2,2,3,1.6666666666666667,952.0,317.0,849.0,382.0,983.0,440.3333333333333,1.09861228867,0.9040510766655,0.883201114044,0.77587113053,1.01716435092,0.8530377206836667,True
NM_001017966,11,4,2,3,1.5454545454545454,66.0,42.375,73.0,56.25,53.0,29.6,1.08518861297,0.93665931044,1.08397317004,0.9318312945664999,1.04663048658,0.9061093347546001,True
NM_001017985,6,4,0,2,1.6666666666666667,50.0,22.6,33.0,27.0,24.0,19.5,1.24245778794,0.9972165732334,0.958127217153,0.855847308381,1.00546682933,0.792691000374,True
NM_001018063,1,0,0,1,1.0,,,,,23.0,23.0,,,,,0.977230046066,0.977230046066,True
NM_001024135,1,0,0,1,1.0,52.0,52.0,,,,,1.03189691794,1.03189691794,,,,,True
NM_001024139,1,1,0,2,2.0,10.0,10.0,4.0,4.0,,,0.801818552543,0.801818552543,0.562335144619,0.562335144619,,,True
NM_001024141,1,1,0,2,2.0,29.0,29.0,19.0,19.0,,,0.692552532361,0.692552532361,1.07952957333,1.07952957333,,,True
NM_001024205,63,45,26,3,2.126984126984127,571.0,105.28260869565217,711.0,111.02272727272727,755.0,119.25,1.20198051652,0.8646881959475001,1.32905667083,0.8595695630473409,1.24548284031,0.8360982582027046,True
NM_001024385,6,4,3,3,2.1666666666666665,104.0,48.2,128.0,56.25,132.0,69.5,1.1727383957,0.9745095852512,0.957078709802,0.7508489837685,1.22706748142,0.94324120391425,True
NM_001024508,1,1,0,2,2.0,16.0,16.0,,,21.0,21.0,1.14327520619,1.14327520619,,,0.6829081047,0.6829081047,True
NM_001024512,1,0,0,1,1.0,,,25.0,25.0,,,,,0.894551097998,0.894551097998,,,True
NM_001024602,5,4,1,3,2.0,25.0,15.0,42.0,26.0,43.0,25.0,1.07755632707,0.994638436899,1.21104072753,0.952093954045,1.26365443188,0.9592081902115,True
NM_001024604,15,11,3,3,1.9333333333333333,116.0,42.0,82.0,33.81818181818182,118.0,37.44444444444444,1.05255236141,0.8297426694452222,1.07852398205,0.9255348677916363,1.23125941551,0.7544606106406666,True
NM_001024606,4,1,1,3,1.5,30.0,16.666666666666668,16.0,14.0,22.0,22.0,1.04375703633,0.9047593172649999,1.02392879964,0.9239440080704999,0.792489105267,0.792489105267,True
NM_001024616,8,4,1,3,1.625,48.0,25.6,38.0,22.5,117.0,42.166666666666664,1.21506562261,0.9389142941458001,0.870359382955,0.73431448577,0.947670449356,0.8112813592811667,True
NM_001024622,16,15,8,3,2.4375,732.0,176.25,824.0,145.28571428571428,1050.0,185.69230769230768,1.16306979577,0.8876157393845833,1.44473624804,0.8721526288927857,1.31623767315,0.891174219502077,True
NM_001024624,2,1,0,2,1.5,41.0,41.0,17.0,17.0,24.0,24.0,0.526289869494,0.526289869494,0.846365829626,0.846365829626,1.03972077084,1.03972077084,True
NM_001024703,1,0,0,1,1.0,34.0,34.0,,,,,0.901208470713,0.901208470713,,,,,True
NM_001024712,2,0,0,1,1.0,23.0,23.0,41.0,41.0,,,1.00569298613,1.00569298613,1.03184951204,1.03184951204,,,True
NM_001024717,1,1,0,2,2.0,15.0,15.0,9.0,9.0,,,0.690923309314,0.690923309314,0.936888307539,0.936888307539,,,True
NM_001024806,31,21,8,3,1.935483870967742,155.0,64.65,140.0,62.1764705882353,213.0,71.6086956521739,1.4888877469,0.93907548874655,1.23884576074,0.9081711566275293,1.20926832953,0.873132684805913,True
NM_001024837,1,0,0,1,1.0,,,23.0,23.0,,,,,1.23466471384,1.23466471384,,,True
NM_001024917,12,7,0,2,1.5833333333333333,76.0,34.285714285714285,73.0,43.833333333333336,40.0,24.0,1.0123308391,0.801499599568143,1.06117423671,0.9085751159048333,1.05042341417,0.9651364240063334,True
NM_001024919,10,6,4,3,2.0,117.0,54.2,87.0,59.166666666666664,157.0,80.0,1.35634455668,0.8813361450758,1.06508483383,0.9816281921026667,1.04188513864,0.7998820845094445,True
NM_001024922,6,3,2,3,1.8333333333333333,34.0,33.0,110.0,30.833333333333332,36.0,22.0,1.06263842572,0.9363407178165,1.32856642093,0.9421752670586666,0.936888307539,0.7555165521313333,True
NM_001024926,1,0,0,1,1.0,,,21.0,21.0,,,,,0.846814380733,0.846814380733,,,True
NM_001024945,3,3,1,3,2.3333333333333335,26.0,15.333333333333334,12.0,12.0,27.0,21.333333333333332,0.916464885539,0.7145435348416665,0.679193265992,0.679193265992,0.942949160682,0.7882371829060001,True
NM_001024952,30,14,2,3,1.5333333333333334,90.0,37.8235294117647,77.0,40.27272727272727,85.0,42.05555555555556,1.09283055353,0.8714236121604119,1.0980123868,0.8279783165140909,1.31575386144,0.9417515672167222,True
NM_001025067,21,9,4,3,1.619047619047619,109.0,38.15384615384615,82.0,40.5,88.0,42.38461538461539,1.14668636443,0.9002352521309231,1.08522804007,0.9397525791035,1.23965131546,0.9690031691852308,True
NM_001025093,21,13,6,3,1.9047619047619047,282.0,66.28571428571429,131.0,55.714285714285715,262.0,98.91666666666667,1.13944397388,0.8848078301838572,1.31069238272,0.893873283068143,1.04656340696,0.8928211720207501,True
NM_001025102,7,5,3,3,2.142857142857143,89.0,48.666666666666664,55.0,30.0,123.0,58.0,1.02818385933,0.8861172755635,0.876199457464,0.75990922770475,1.08889997535,0.8364145863478001,True
NM_001025156,5,4,3,3,2.4,48.0,29.0,39.0,28.666666666666668,44.0,25.0,1.30001931861,0.9842871225373999,1.3073360833,0.8434827767963334,1.0579054247,0.8389256213965,True
NM_001025192,24,10,5,3,1.625,393.0,60.46153846153846,320.0,57.42857142857143,342.0,66.75,1.32486824814,0.9218503470367693,1.30175565867,0.9659853890987857,1.23562943218,0.9245485939571667,True
NM_001025296,3,1,0,2,1.3333333333333333,19.0,19.0,23.0,15.0,16.0,16.0,1.07952957333,1.07952957333,1.07899220788,0.8741600855865,1.02392879964,1.02392879964,True
NM_001025309,4,1,0,2,1.25,27.0,27.0,49.0,49.0,65.0,41.333333333333336,0.813082901314,0.813082901314,0.991678293516,0.991678293516,1.08712307262,1.0411729716576668,True
NM_001025360,1,0,0,1,1.0,12.0,12.0,,,,,0.867563228481,0.867563228481,,,,,True
NM_001025365,3,3,1,3,2.3333333333333335,44.0,44.0,36.0,20.666666666666668,57.0,32.666666666666664,0.965806624907,0.965806624907,0.933823851715,0.7376412168596667,0.979971182083,0.7397202535146667,True
NM_001025387,12,8,5,3,2.0833333333333335,146.0,58.142857142857146,187.0,68.0,198.0,65.54545454545455,1.09283055353,0.8783536292704286,1.33408191896,0.861816771044,1.04663048658,0.7611904629921817,True
NM_001025388,2,2,2,3,3.0,245.0,154.0,153.0,89.5,162.0,91.0,0.908667202205,0.8165281480815,1.23093162305,1.0184427611685,0.822077552151,0.7174735023065,True
NM_001025392,48,34,20,3,2.125,1042.0,218.73529411764707,1167.0,248.59375,1257.0,222.69444444444446,1.29979659001,0.8812806193921177,1.24413369291,0.8555431356521875,1.12158741257,0.8008935710025,True
NM_001025426,9,7,3,3,2.111111111111111,60.0,36.857142857142854,72.0,27.5,60.0,35.0,0.950270539233,0.7630147711271429,1.02965301406,0.8833275080895001,1.06085694716,0.913822012575,True
NM_001025432,19,12,11,3,2.210526315789474,778.0,132.93333333333334,787.0,163.35714285714286,1023.0,194.84615384615384,1.23282068688,0.8560600873205334,1.17552329912,0.8836100379573572,1.29337306365,0.9580272531881538,True
NM_001025561,3,2,1,3,2.0,21.0,21.0,64.0,41.0,62.0,39.666666666666664,1.01249471103,1.01249471103,1.29651411833,1.0621261376645,1.14884919922,0.950191815753,True
NM_001025572,7,6,4,3,2.4285714285714284,95.0,68.66666666666667,95.0,70.6,65.0,39.0,1.34411076521,0.9324059519063334,1.07479239397,0.7844106123082,1.02556524252,0.8109753190763334,True
NM_001025573,1,0,0,1,1.0,,,16.0,16.0,,,,,0.900256051269,0.900256051269,,,True
NM_001025586,1,0,0,1,1.0,,,,,9.0,9.0,,,,,0.936888307539,0.936888307539,True
NM_001025608,4,4,2,3,2.5,42.0,24.0,38.0,31.333333333333332,42.0,31.333333333333332,1.2495291806,0.954200388704,0.900724362369,0.734820705591,1.06182342492,0.8947209419506666,True
NM_001025613,3,1,1,3,1.6666666666666667,85.0,50.0,42.0,28.5,82.0,82.0,1.11103224498,1.060323001575,0.803314976141,0.6767938915525,1.06910931345,1.06910931345,True
NM_001026211,4,2,1,3,1.75,88.0,51.0,61.0,61.0,45.0,41.0,1.03972077084,0.7938719193420001,0.978216984725,0.978216984725,0.983727754291,0.8711228671260001,True
NM_001026212,6,3,0,2,1.5,,,37.0,27.0,41.0,26.4,,,1.01331268735,0.95793845658525,0.976894510165,0.8195103182094,True
NM_001026214,2,2,1,3,2.5,36.0,28.0,22.0,18.5,51.0,51.0,1.26981518076,1.16845453782,0.907535294105,0.8187032520440001,0.670003582879,0.670003582879,True
NM_001029850,5,2,1,3,1.6,133.0,49.5,64.0,34.333333333333336,119.0,119.0,1.26788560315,1.0016717056445001,1.16226794228,0.8862497972036666,0.8226768231,0.8226768231,True
NM_001029856,48,29,13,3,1.875,472.0,66.20689655172414,265.0,60.0,660.0,77.625,1.19662140773,0.889814265775793,1.06563720874,0.8460017326582069,1.17035186526,0.8514867553136876,True
NM_001029868,18,11,4,3,1.8333333333333333,96.0,41.92307692307692,116.0,40.92307692307692,86.0,47.42857142857143,1.08522804007,0.8209351413310769,1.28984413936,0.9352492625731539,0.955131195451,0.8067984482939999,True
NM_001029889,9,4,3,3,1.7777777777777777,79.0,39.8,67.0,38.8,120.0,43.0,1.15441089806,0.825776948506,1.09185490817,0.918111544519,1.06085694716,0.9204735283198332,True
